Book Id,Author,Author l-f,Additional Authors,ISBN,ISBN13,my_rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,matches,match_score,authors,description,average_rating,categories,title,combined_text
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,村上春樹,,0.0,Unknown,1q84,1q84 村上春樹  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,James Patterson,,0.0,Unknown,1st to die,1st to die James Patterson  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,"James Patterson, Andrew Gross",,0.0,Unknown,2nd chance,"2nd chance James Patterson, Andrew Gross  Unknown    "
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,"James Patterson, Andrew Gross",,0.0,Unknown,3rd degree,"3rd degree James Patterson, Andrew Gross  Unknown    "
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Agatha Christie,,0.0,Unknown,450 from paddington,450 from paddington Agatha Christie  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,"James Patterson, Maxine Paetro",,0.0,Unknown,4th of july,"4th of july James Patterson, Maxine Paetro  Unknown    "
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Lee Child,,0.0,Unknown,61 hours,61 hours Lee Child  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Georgette Heyer,,0.0,Unknown,a blunt instrument,a blunt instrument Georgette Heyer  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,"Agatha Christie, Christie",,0.0,Unknown,a caribbean mystery,"a caribbean mystery Agatha Christie, Christie  Unknown    "
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Michael Crichton,,0.0,Unknown,a case of need,a case of need Michael Crichton  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Mark Twain,,0.0,Unknown,a connecticut yankee in king arthurs court,a connecticut yankee in king arthurs court Mark Twain  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Louise Penny,,0.0,Unknown,a fatal grace,a fatal grace Louise Penny  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Holly Jackson,,0.0,Unknown,a good girls guide to murder,a good girls guide to murder Holly Jackson  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Sue Grafton,,0.0,Unknown,a is for alibi,a is for alibi Sue Grafton  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Ira Levin,,0.0,Unknown,a kiss before dying,a kiss before dying Ira Levin  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,P. D. James,,0.0,Unknown,a mind to murder,a mind to murder P. D. James  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Agatha Christie,,0.0,Unknown,a murder is announced,a murder is announced Agatha Christie  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Agatha Christie,,0.0,Unknown,a pocket full of rye,a pocket full of rye Agatha Christie  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Philip K. Dick,,0.0,Unknown,a scanner darkly,a scanner darkly Philip K. Dick  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,"Anna Katharine Green, Anna Katharine Green, Cyanide Publishing, Anna Katherine Green, Anna Green",,0.0,Unknown,a strange disappearance,"a strange disappearance Anna Katharine Green, Anna Katharine Green, Cyanide Publishing, Anna Katherine Green, Anna Green  Unknown    "
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,James De Mille,,0.0,Unknown,a strange manuscript found in a copper cylinder,a strange manuscript found in a copper cylinder James De Mille  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Arthur Conan Doyle,,0.0,Unknown,a study in scarlet,a study in scarlet Arthur Conan Doyle  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,John Grisham,,0.0,Unknown,a time to kill,a time to kill John Grisham  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Agatha Christie,,0.0,Unknown,after the funeral,after the funeral Agatha Christie  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Margaret Atwood,,0.0,Unknown,alias grace,alias grace Margaret Atwood  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,"Edward Bulwer Lytton, Baron Lytton",,0.0,Unknown,alice or the mysteries,"alice or the mysteries Edward Bulwer Lytton, Baron Lytton  Unknown    "
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Lewis Carroll,,0.0,Unknown,alices adventures in wonderland,alices adventures in wonderland Lewis Carroll  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,James Patterson,,0.0,Unknown,along came a spider,along came a spider James Patterson  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Theodore Dreiser,,0.0,Unknown,an american tragedy,an american tragedy Theodore Dreiser  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,P. D. James,,0.0,Unknown,an unsuitable job for a woman,an unsuitable job for a woman P. D. James  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Neil Gaiman,,0.0,Unknown,anansi boys,anansi boys Neil Gaiman  Unknown    
